t,tpcc_warehouse_count,tpcc_warehouse_affinity,run_until_tx,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
5,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,29.2,1913348,100,0,0,0,0,0,0,0,0,87.46,0,0,0,17742798,0,0,0,0,0,172814,0,2579430
5,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,29.7,1946361,100,0,0,0,0,0,0,0,0,87.24,0,0,0,16058165,0,0,0,0,0,174020,0,2601179
6,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,26.75,1752962,100,0,0,0,0,0,0,0,0,88.51,0,0,0,22269057,0,0,0,0,0,98469,0,1456272
6,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,26.5,1736399,100,0,0,0,0,0,0,0,0,88.62,0,0,0,21917520,0,0,0,0,0,96176,0,1427298
6,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,31.74,2080254,100,0,0,0,0,0,0,0,0,86.36,0,0,0,16321062,0,0,0,0,0,170977,0,2552145
6,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,32.28,2115513,100,0,0,0,0,0,0,0,0,86.13,0,0,0,16081474,0,0,0,0,0,173316,0,2585061
7,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,28.19,1847172,100,0,0,0,0,0,0,0,0,87.89,0,0,0,23145822,0,0,0,0,0,96496,0,1440717
7,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,27.92,1829727,100,0,0,0,0,0,0,0,0,88,0,0,0,21797567,0,0,0,0,0,95603,0,1426478
7,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,34.3,2247693,100,0,0,0,0,0,0,0,0,85.26,0,0,0,17038931,0,0,0,0,0,171553,0,2557074
7,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,34.87,2285181,100,0,0,0,0,0,0,0,0,85.02,0,0,0,16101590,0,0,0,0,0,173829,0,2591116
8,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,29.64,1942282,100,0,0,0,0,0,0,0,0,87.27,0,0,0,22198120,0,0,0,0,0,97456,0,1455242
8,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,29.34,1923071,100,0,0,0,0,0,0,0,0,87.39,0,0,0,21689252,0,0,0,0,0,95652,0,1429892
8,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,36.9,2418560,100,0,0,0,0,0,0,0,0,84.14,0,0,0,15719073,0,0,0,0,0,175093,0,2614617
8,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,37.46,2455282,100,0,0,0,0,0,0,0,0,83.9,0,0,0,16286712,0,0,0,0,0,174304,0,2604264
9,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,31.07,2036329,100,0,0,0,0,0,0,0,0,86.65,0,0,0,23025635,0,0,0,0,0,96374,0,1435568
9,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,30.77,2016679,100,0,0,0,0,0,0,0,0,86.78,0,0,0,22400346,0,0,0,0,0,95918,0,1428477
9,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,39.51,2589342,100,0,0,0,0,0,0,0,0,83.02,0,0,0,15617630,0,0,0,0,0,174971,0,2613312
9,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,40.06,2625535,100,0,0,0,0,0,0,0,0,82.79,0,0,0,17498354,0,0,0,0,0,174444,0,2604832
10,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,32.52,2131348,100,0,0,0,0,0,0,0,0,86.03,0,0,0,23572798,0,0,0,0,0,97301,0,1455576
10,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,32.19,2109892,100,0,0,0,0,0,0,0,0,86.17,0,0,0,21150065,0,0,0,0,0,95531,0,1429118
10,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,42.1,2758912,100,0,0,0,0,0,0,0,0,81.91,0,0,0,15792888,0,0,0,0,0,173734,0,2578620
10,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,42.66,2795466,100,0,0,0,0,0,0,0,0,81.67,0,0,0,18473525,0,0,0,0,0,174082,0,2584853
11,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,33.98,2227005,100,0,0,0,0,0,0,0,0,85.4,0,0,0,24189523,0,0,0,0,0,97994,0,1454151
11,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,33.62,2203404,100,0,0,0,0,0,0,0,0,85.55,0,0,0,20920468,0,0,0,0,0,95817,0,1425244
11,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,44.68,2928402,100,0,0,0,0,0,0,0,0,80.8,0,0,0,15731136,0,0,0,0,0,173618,0,2586973
11,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,45.25,2965607,100,0,0,0,0,0,0,0,0,80.56,0,0,0,16006226,0,0,0,0,0,174294,0,2597704
12,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,35.43,2321894,100,0,0,0,0,0,0,0,0,84.78,0,0,0,22159600,0,0,0,0,0,97247,0,1454859
12,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,35.05,2296877,100,0,0,0,0,0,0,0,0,84.94,0,0,0,21380348,0,0,0,0,0,95756,0,1429716
12,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,47.28,3098427,100,0,0,0,0,0,0,0,0,79.69,0,0,0,16114335,0,0,0,0,0,174200,0,2600572
12,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,47.84,3135559,100,0,0,0,0,0,0,0,0,79.44,0,0,0,16416295,0,0,0,0,0,174101,0,2588613
13,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,36.88,2416934,100,0,0,0,0,0,0,0,0,84.15,0,0,0,22070994,0,0,0,0,0,97396,0,1454538
13,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,36.47,2390279,100,0,0,0,0,0,0,0,0,84.33,0,0,0,22115766,0,0,0,0,0,95717,0,1429496
13,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,49.85,3266825,100,0,0,0,0,0,0,0,0,78.58,0,0,0,17531348,0,0,0,0,0,172504,0,2565851
13,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,50.43,3305223,100,0,0,0,0,0,0,0,0,78.33,0,0,0,16059725,0,0,0,0,0,173843,0,2592289
14,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,38.33,2511748,100,0,0,0,0,0,0,0,0,83.53,0,0,0,22023421,0,0,0,0,0,97158,0,1453841
14,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,37.9,2483728,100,0,0,0,0,0,0,0,0,83.72,0,0,0,21062968,0,0,0,0,0,95740,0,1429738
14,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,52.43,3436209,100,0,0,0,0,0,0,0,0,77.47,0,0,0,18140546,0,0,0,0,0,173536,0,2591572
14,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,53.02,3474419,100,0,0,0,0,0,0,0,0,77.22,0,0,0,16477186,0,0,0,0,0,173348,0,2590956
15,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,39.78,2606718,100,0,0,0,0,0,0,0,0,82.91,0,0,0,22975775,0,0,0,0,0,97316,0,1453818
15,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,39.32,2577012,100,0,0,0,0,0,0,0,0,83.1,0,0,0,20849293,0,0,0,0,0,95604,0,1429111
15,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,55.01,3605101,100,0,0,0,0,0,0,0,0,76.36,0,0,0,17230593,0,0,0,0,0,173009,0,2575012
15,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,55.6,3643991,100,0,0,0,0,0,0,0,0,76.11,0,0,0,16880350,0,0,0,0,0,173674,0,2584738
16,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,41.22,2701371,100,0,0,0,0,0,0,0,0,82.29,0,0,0,22388361,0,0,0,0,0,96979,0,1435195
16,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,40.75,2670822,100,0,0,0,0,0,0,0,0,82.49,0,0,0,20833550,0,0,0,0,0,96075,0,1426223
16,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,57.58,3773575,100,0,0,0,0,0,0,0,0,75.26,0,0,0,15964803,0,0,0,0,0,172606,0,2577715
16,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,58.19,3813411,100,0,0,0,0,0,0,0,0,75,0,0,0,17797628,0,0,0,0,0,173532,0,2591449
17,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,42.67,2796529,100,0,0,0,0,0,0,0,0,81.66,0,0,0,22453267,0,0,0,0,0,97458,0,1452532
17,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,42.18,2764375,100,0,0,0,0,0,0,0,0,81.88,0,0,0,20882174,0,0,0,0,0,95826,0,1426560
17,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,60.15,3942109,100,0,0,0,0,0,0,0,0,74.15,0,0,0,15747703,0,0,0,0,0,172684,0,2580494
17,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,60.77,3982710,100,0,0,0,0,0,0,0,0,73.89,0,0,0,16055061,0,0,0,0,0,173433,0,2592188
18,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,44.12,2891741,100,0,0,0,0,0,0,0,0,81.04,0,0,0,22827968,0,0,0,0,0,97511,0,1451614
18,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,43.61,2857982,100,0,0,0,0,0,0,0,0,81.26,0,0,0,22297325,0,0,0,0,0,95867,0,1427994
18,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,62.74,4111514,100,0,0,0,0,0,0,0,0,73.04,0,0,0,15701460,0,0,0,0,0,173464,0,2579852
18,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,63.36,4152689,100,0,0,0,0,0,0,0,0,72.77,0,0,0,16190366,0,0,0,0,0,174095,0,2589125
19,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,45.57,2986783,100,0,0,0,0,0,0,0,0,80.42,0,0,0,21985159,0,0,0,0,0,97362,0,1449603
19,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,45.04,2951504,100,0,0,0,0,0,0,0,0,80.65,0,0,0,23045899,0,0,0,0,0,95814,0,1427565
19,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,65.31,4279942,100,0,0,0,0,0,0,0,0,71.94,0,0,0,15563863,0,0,0,0,0,172507,0,2576020
19,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,65.94,4321677,100,0,0,0,0,0,0,0,0,71.66,0,0,0,16306868,0,0,0,0,0,173086,0,2587371
20,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,47.02,3081815,100,0,0,0,0,0,0,0,0,79.79,0,0,0,21972140,0,0,0,0,0,97360,0,1451544
20,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,46.46,3044762,100,0,0,0,0,0,0,0,0,80.04,0,0,0,21280136,0,0,0,0,0,95529,0,1427535
20,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,67.87,4448102,100,0,0,0,0,0,0,0,0,70.84,0,0,0,15821417,0,0,0,0,0,172231,0,2573666
20,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,68.53,4491488,100,0,0,0,0,0,0,0,0,70.55,0,0,0,15958297,0,0,0,0,0,173924,0,2593293
21,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,48.48,3177462,100,0,0,0,0,0,0,0,0,79.17,0,0,0,21967528,0,0,0,0,0,97942,0,1449533
21,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,47.89,3138712,100,0,0,0,0,0,0,0,0,79.42,0,0,0,20833760,0,0,0,0,0,96243,0,1428242
21,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,70.47,4618024,100,0,0,0,0,0,0,0,0,69.72,0,0,0,15561940,0,0,0,0,0,173993,0,2579456
21,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,71.13,4661885,100,0,0,0,0,0,0,0,0,69.43,0,0,0,16096105,0,0,0,0,0,174450,0,2590211
22,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,49.93,3271997,100,0,0,0,0,0,0,0,0,78.55,0,0,0,22068267,0,0,0,0,0,96902,0,1448114
22,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,49.33,3233014,100,0,0,0,0,0,0,0,0,78.8,0,0,0,22922709,0,0,0,0,0,96601,0,1440604
22,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,73.04,4786997,100,0,0,0,0,0,0,0,0,68.61,0,0,0,15550881,0,0,0,0,0,173051,0,2580357
22,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,73.72,4831402,100,0,0,0,0,0,0,0,0,68.32,0,0,0,17605914,0,0,0,0,0,173638,0,2592041
23,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,51.37,3366433,100,0,0,0,0,0,0,0,0,77.93,0,0,0,21884013,0,0,0,0,0,96747,0,1447465
23,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,50.76,3326767,100,0,0,0,0,0,0,0,0,78.19,0,0,0,21252362,0,0,0,0,0,96032,0,1434664
23,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,75.6,4954452,100,0,0,0,0,0,0,0,0,67.52,0,0,0,15683734,0,0,0,0,0,171487,0,2558540
23,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,76.31,5000856,100,0,0,0,0,0,0,0,0,67.21,0,0,0,17048441,0,0,0,0,0,173502,0,2578224
24,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,52.81,3460773,100,0,0,0,0,0,0,0,0,77.31,0,0,0,22174759,0,0,0,0,0,96661,0,1446973
24,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,52.19,3420026,100,0,0,0,0,0,0,0,0,77.58,0,0,0,21022850,0,0,0,0,0,95525,0,1427353
24,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,78.17,5122717,100,0,0,0,0,0,0,0,0,66.41,0,0,0,15644299,0,0,0,0,0,172325,0,2568902
24,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,78.88,5169652,100,0,0,0,0,0,0,0,0,66.11,0,0,0,16692199,0,0,0,0,0,172860,0,2583872
25,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,54.25,3555505,100,0,0,0,0,0,0,0,0,76.69,0,0,0,21875124,0,0,0,0,0,97063,0,1447007
25,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,53.61,3513296,100,0,0,0,0,0,0,0,0,76.97,0,0,0,21821941,0,0,0,0,0,95513,0,1427610
25,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,80.73,5290862,100,0,0,0,0,0,0,0,0,65.31,0,0,0,15552514,0,0,0,0,0,172195,0,2574257
25,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,81.45,5338134,100,0,0,0,0,0,0,0,0,65,0,0,0,19030269,0,0,0,0,0,172553,0,2579351
26,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,55.7,3650605,100,0,0,0,0,0,0,0,0,76.06,0,0,0,21807793,0,0,0,0,0,97401,0,1445539
26,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,55.04,3607389,100,0,0,0,0,0,0,0,0,76.35,0,0,0,20841672,0,0,0,0,0,96386,0,1429662
